AgencyName,ProgramName ,AgencyCode,ProgramCode
Department of Agriculture,Rural Business Loans,005,005-001
Department of Agriculture,Rural Business Grants,005,005-002
Department of Agriculture,Energy Assistance Loan Guarantees and Payments,005,005-003
Department of Agriculture,Distance Learning Telemedicine and Broadband,005,005-004
Department of Agriculture,Rural Electrification and Telecommunication Loans,005,005-005
Department of Agriculture,Rural Water and Waste Loans and Grants,005,005-006
Department of Agriculture,Single Family Housing,005,005-007
Department of Agriculture,Multi-Family Housing,005,005-008
Department of Agriculture,Farm labor Housing,005,005-009
Department of Agriculture,Rental Assistance,005,005-010
Department of Agriculture,Community Facilities,005,005-011
Department of Agriculture,Farm Loans,005,005-012
Department of Agriculture,"Commodity Programs, Commodity Credit Corporation",005,005-013
Department of Agriculture,"Conservation Programs, Commodity Credit Corporation",005,005-014
Department of Agriculture,Grassroots Source Water Protection Program,005,005-015
Department of Agriculture,Reforestation Pilot Program,005,005-016
Department of Agriculture,State Mediation Grants,005,005-017
Department of Agriculture,Dairy Indemnity Payment Program (DIPP),005,005-018
Department of Agriculture,Emergency Conservation Program,005,005-019
Department of Agriculture,Emergency Forest Restoration Program,005,005-020
Department of Agriculture,Noninsured Crop Disaster Assistance Program (NAP),005,005-021
Department of Agriculture,Federal Crop Insurance Corporation Fund,005,005-022
Department of Agriculture,Public Law 480 Title I Direct Credit and Food for Progress Program Account,005,005-023
Department of Agriculture,Food for Peace Title II Grants,005,005-024
Department of Agriculture,McGovern-Dole International Food for Education and Child Nutrition Program,005,005-025
Department of Agriculture,Market Development and Food Assistance,005,005-026
Department of Agriculture,Conservation Operations,005,005-027
Department of Agriculture,Conservation Easements,005,005-028
Department of Agriculture,Environmental Quality Incentives Program,005,005-029
Department of Agriculture,Capital Improvement and Maintenance,005,005-030
Department of Agriculture,Forest and Rangeland Research,005,005-031
Department of Agriculture,Forest Service Permanent Appropriations and Trust Funds,005,005-032
Department of Agriculture,Land Acquisition,005,005-033
Department of Agriculture,National Forest System,005,005-034
Department of Agriculture,State and Private Forestry,005,005-035
Department of Agriculture,Wildland Fire Management,005,005-036
Department of Agriculture,Research and Education,005,005-037
Department of Agriculture,Extension,005,005-038
Department of Agriculture,Integrated Activities,005,005-039
Department of Agriculture,National Research,005,005-040
Department of Agriculture,"Economic Research, Market Outlook, and Policy Analysis",005,005-041
Department of Agriculture,Agricultural Estimates,005,005-042
Department of Agriculture,Census of Agriculture,005,005-043
Department of Agriculture,Grain Regulatory Program,005,005-044
Department of Agriculture,Packers and Stockyards Program,005,005-045
Department of Agriculture,Inspection and Grading of Farm Products,005,005-046
Department of Agriculture,Marketing Services,005,005-047
Department of Agriculture,Payments to States and Possessions,005,005-048
Department of Agriculture,Perishable Agricultural Commodities Act,005,005-049
Department of Agriculture,Commodity Purchases,005,005-050
Department of Agriculture,Safeguarding and Emergency Preparedness/Response,005,005-051
Department of Agriculture,Safe Trade and International Technical Assistance,005,005-052
Department of Agriculture,Animal Welfare,005,005-053
Department of Agriculture,Child Nutrition Programs,005,005-054
Department of Agriculture,Commodity Assistance Programs,005,005-055
Department of Agriculture,Supplemental Nutrition Assistance Program,005,005-056
Department of Agriculture,Center for Nutrition Policy and Promotion,005,005-057
Department of Agriculture,Food Safety and Inspection,005,005-058
Department of Agriculture,Management Activities,005,005-059
Department of Commerce,Management and Policy Coordination,006,006-001
Department of Commerce,Export Administration,006,006-002
Department of Commerce,Export Enforcement,006,006-003
Department of Commerce,Current Surveys and Statistics,006,006-004
Department of Commerce,Survey of Program Dynamics (mandatory),006,006-005
Department of Commerce,State Children’s Health Insurance Program (mandatory),006,006-006
Department of Commerce,Economic Statistics Programs,006,006-007
Department of Commerce,Demographic Statistics Program,006,006-008
Department of Commerce,Demographic Surveys Sample Redesign,006,006-009
Department of Commerce,Geographic Support,006,006-010
Department of Commerce,Data Processing,006,006-011
Department of Commerce,Census Working Capital Fund (Centralized Services),006,006-012
Department of Commerce,Executive Direction,006,006-013
Department of Commerce,Departmental Staff Services,006,006-014
Department of Commerce,HCHB Renovation and Modernization,006,006-015
Department of Commerce,Gifts and Bequests Trust Fund,006,006-016
Department of Commerce,Franchise Fund,006,006-017
Department of Commerce,Executive Direction (Centralized Services),006,006-018
Department of Commerce,Departmental Staff Services (Centralized Services ),006,006-019
Department of Commerce,Office of the Inspector General,006,006-020
Department of Commerce,Bureau of Economic Analysis,006,006-021
Department of Commerce,Policy Support,006,006-022
Department of Commerce,Salaries and Expenses (S&E),006,006-023
Department of Commerce,Partnership Planning Grants,006,006-024
Department of Commerce,Technical Assistance Grants,006,006-025
Department of Commerce,Public Works Grants,006,006-026
Department of Commerce,Economic Adjustment Assistance Grants,006,006-027
Department of Commerce,Research and Evaluation Grants,006,006-028
Department of Commerce,Trade Adjustment Assistance,006,006-029
Department of Commerce,Regional Export Challenge (New in FY 2014),006,006-030
Department of Commerce,Investing in Manufacturing Communities Fund (New in FY 2014,006,006-031
Department of Commerce,Disaster Recovery Assistance,006,006-032
Department of Commerce,EDA Revolving Fund,006,006-033
Department of Commerce,Operations and Administration (O&A),006,006-034
Department of Commerce,Manufacturing and Services (Thru FY 2013),006,006-035
Department of Commerce,Market Access and Compliance (Thru FY 2013),006,006-036
Department of Commerce,Import Administration (Thru FY 2013),006,006-037
Department of Commerce,U.S. and Foreign Commercial Service (Thru FY 2013,006,006-038
Department of Commerce,Executive Direction and Administration,006,006-039
Department of Commerce,Grants to Wool Manufacturers (mandatory),006,006-040
Department of Commerce,Industry and Analysis (New in FY 2014),006,006-041
Department of Commerce,Enforcement and Compliance (New in FY 2014),006,006-042
Department of Commerce,Global Markets (New in FY 2014),006,006-043
Department of Commerce,Minority Business Development,006,006-044
Department of Commerce,Laboratory Programs,006,006-045
Department of Commerce,Corporate Services,006,006-046
Department of Commerce,Standards Coordination and Special Programs,006,006-047
Department of Commerce,Technology Innovation Programs,006,006-048
Department of Commerce,Hollings Manufacturing Extension Partnership,006,006-049
Department of Commerce,Advanced Manufacturing Technology Consortia,006,006-050
Department of Commerce,Construction and Major Renovations,006,006-051
Department of Commerce,NIST Working Capital Fund (Centralized Services),006,006-052
Department of Commerce,Wireless Innovation (WIN) Fund (mandatory),006,006-053
Department of Commerce,National Network for Manufacturing Innovation (mandatory),006,006-054
Department of Commerce,National Ocean Service,006,006-055
Department of Commerce,National Marine Fisheries Service,006,006-056
Department of Commerce,Oceanic and Atmospheric Research,006,006-057
Department of Commerce,National Weather Service,006,006-058
Department of Commerce,"National Environmental Satellite, Data and Information Service",006,006-059
Department of Commerce,Program Support,006,006-060
Department of Commerce,Information Clearinghouse Program,006,006-061
Department of Commerce,Domestic and International Policy,006,006-062
Department of Commerce,Spectrum Management,006,006-063
Department of Commerce,Telecommunications Science Research,006,006-064
Department of Commerce,Broadband Programs,006,006-065
Department of Commerce,Wireless Broadband Access,006,006-066
Department of Commerce,"Public Telecommunications Facilities, Planning and Construction",006,006-067
Department of Commerce,Digital Television Transition and Public Safety Fund (mandatory),006,006-068
Department of Commerce,Public Safety Broadband Corporation (mandatory),006,006-069
Department of Commerce,Patents,006,006-070
Department of Commerce,Trademarks,006,006-071
Department of Defense,Bomber Forces,007,007-001
Department of Defense,Intercontinental Ballistic Missiles (ICBMs),007,007-002
Department of Defense,Strategic Land-Based missile (SLBM),007,007-003
Department of Defense,Activities Supporting Bombers & ICBMs,007,007-004
