Issue,Title,State,Bucket,Native type after triage,Labels,Disposition,URL
6926,Inventory component strings and add localization regression checks,open,research,Task,Affects: Language Support; Affects: Testing; Type: Research; Type: Spike,keep,https://github.com/uswds/uswds/issues/6926
6925,Build an automated accessibility release gate with real screen-reader coverage,open,maintenance,Task,Affects: Accessibility 🟡; Affects: Automation; Affects: Testing,keep,https://github.com/uswds/uswds/issues/6925
6924,Automate the release pipeline for continuous delivery,open,maintenance,Task,Affects: Automation; Affects: Build,keep,https://github.com/uswds/uswds/issues/6924
6900,Spacing scale audit: 11 literal spacing values off your own token scale,open,maintenance,Task,Context: Sass; Needs: Discussion; Package: Tokens,keep,https://github.com/uswds/uswds/issues/6900
6895,Refactor Date Picker component,open,maintenance,Task,Affects: Accessibility 🟡; Affects: Usability; Context: JavaScript; Needs: Refinement; Package: Date Picker,keep,https://github.com/uswds/uswds/issues/6895
6881,USWDS - Code Review: Add review digest tool,open,maintenance,Task,Affects: AI; Affects: Automation,keep,https://github.com/uswds/uswds/issues/6881
6871,"USWDS - Build: Add root ""type"": ""module"" to package.json (optional)",open,maintenance,Task,Affects: Build; Context: JavaScript; Help wanted; Modernization,keep,https://github.com/uswds/uswds/issues/6871
6870,USWDS - Build: Rename Node-side CommonJS tooling files to .cjs (optional),open,maintenance,Task,Affects: Build; Context: JavaScript; Help wanted; Modernization,keep,https://github.com/uswds/uswds/issues/6870
6869,"USWDS - JS: Migration cleanup -- delete the Storybook CJS-to-ESM transform plugin, tighten lint rules, fix stale docs",open,maintenance,Task,Affects: Build; Affects: Documentation; Context: JavaScript; Help wanted; Modernization,keep,https://github.com/uswds/uswds/issues/6869
6868,"USWDS - JS: Convert uswds-core's leaf utilities to ESM, part 2 of 2",open,maintenance,Task,Context: JavaScript; Help wanted; Modernization,keep,https://github.com/uswds/uswds/issues/6868
6867,"USWDS - JS: Convert uswds-core's leaf utilities to ESM, part 1 of 2",open,maintenance,Task,Affects: Build; Context: JavaScript; Help wanted; Modernization,keep,https://github.com/uswds/uswds/issues/6867
6866,USWDS - JS: Convert config.js and events.js to ESM (with named exports),open,maintenance,Task,Context: JavaScript; Help wanted; Modernization,keep,https://github.com/uswds/uswds/issues/6866
6865,"USWDS - JS: Convert uswds-core's shared utilities (focus-trap, select-or-matches, toggle-form-input, validate-input) to ESM",open,maintenance,Task,Context: JavaScript; Help wanted; Modernization,keep,https://github.com/uswds/uswds/issues/6865
6864,USWDS - JS: Convert usa-skipnav and usa-table to ESM,open,maintenance,Task,Affects: Build; Context: JavaScript; Help wanted; Modernization,keep,https://github.com/uswds/uswds/issues/6864
6863,"USWDS - JS: Convert usa-character-count, usa-footer, and usa-search to ESM",open,maintenance,Task,Context: JavaScript; Help wanted; Modernization; Package: Character count; Package: Footer; Package: Search,keep,https://github.com/uswds/uswds/issues/6863
6862,"USWDS - JS: Convert usa-accordion, usa-banner, and usa-button to ESM",open,maintenance,Task,Context: JavaScript; Help wanted; Modernization; Package: Accordion; Package: Banner; Package: Button,keep,https://github.com/uswds/uswds/issues/6862
6861,"USWDS - JS: Convert usa-range, usa-tooltip, and usa-validation to ESM",open,maintenance,Task,Affects: Build; Context: JavaScript; Help wanted; Modernization,keep,https://github.com/uswds/uswds/issues/6861
6860,USWDS - JS: Convert usa-input-mask and usa-language-selector to ESM,open,maintenance,Task,Context: JavaScript; Help wanted; Modernization; Package: Input mask; Package: Language selector,keep,https://github.com/uswds/uswds/issues/6860
6859,"USWDS - JS: Convert usa-password, usa-file-input, and usa-in-page-navigation to ESM",open,maintenance,Task,Context: JavaScript; Help wanted; Modernization; Package: File Input; Package: In-page navigation,keep,https://github.com/uswds/uswds/issues/6859
6858,"USWDS - JS: Convert usa-header to ESM, and usa-nav's spec files",open,maintenance,Task,Affects: Build; Context: JavaScript; Help wanted; Modernization,keep,https://github.com/uswds/uswds/issues/6858
6857,USWDS - JS: Convert usa-combo-box and usa-modal to ESM,open,maintenance,Task,Context: JavaScript; Help wanted; Modernization; Package: Combo Box; Package: Modal,keep,https://github.com/uswds/uswds/issues/6857
6856,USWDS - JS: Convert usa-date-picker to ESM,open,maintenance,Task,Context: JavaScript; Help wanted; Modernization; Package: Date Picker,keep,https://github.com/uswds/uswds/issues/6856
6855,USWDS - JS: Convert usa-time-picker to ESM,open,maintenance,Task,Affects: Build; Context: JavaScript; Help wanted; Modernization,keep,https://github.com/uswds/uswds/issues/6855
6854,USWDS - JS: Convert usa-date-range-picker to ESM,open,maintenance,Task,Context: JavaScript; Help wanted; Modernization; Package: Date Range Picker,keep,https://github.com/uswds/uswds/issues/6854
6853,USWDS - JS: Convert start.js and the component barrel to ESM,open,maintenance,Task,Context: JavaScript; Help wanted; Modernization,keep,https://github.com/uswds/uswds/issues/6853
6852,USWDS - JS: Repoint package exports off raw source to built artifacts,open,maintenance,Task,Affects: Build; Context: JavaScript; Help wanted; Modernization,keep,https://github.com/uswds/uswds/issues/6852
6851,"USWDS - Build: Emit per-component CommonJS build artifacts (additive, nothing repointed yet)",open,maintenance,Task,Affects: Build; Context: JavaScript; Help wanted; Modernization,keep,https://github.com/uswds/uswds/issues/6851
6850,USWDS - Build: Replace browserify with Rollup for the JS bundle (source stays CommonJS),open,maintenance,Task,Affects: Build; Context: JavaScript; Help wanted; Modernization,keep,https://github.com/uswds/uswds/issues/6850
6849,USWDS - JS: Add ESLint rules that can detect CommonJS/ESM mistakes,open,maintenance,Task,Affects: Build; Context: JavaScript; Help wanted; Modernization,keep,https://github.com/uswds/uswds/issues/6849
6847,USWDS - JS: Add a behavioral characterization test for the built JS bundle,open,maintenance,Task,Affects: Build; Affects: Testing; Context: JavaScript; Help wanted; Modernization,keep,https://github.com/uswds/uswds/issues/6847
6846,"USWDS - JS: Tooling hygiene ahead of the ESM migration (npm ci in CI, dead specs, lint scope, spec-count floor)",open,maintenance,Task,Affects: Build; Affects: Testing; Context: JavaScript; Help wanted; Modernization,keep,https://github.com/uswds/uswds/issues/6846
6845,USWDS - JS: Migrate CommonJS to ECMAScript Modules (Stage 1: zero consumer-visible change),open,maintenance,Task,Affects: Build; Context: JavaScript; Help wanted; Modernization,keep,https://github.com/uswds/uswds/issues/6845
6839,USWDS - code review skill refresh,open,maintenance,Task,Affects: AI; Needs: Refinement,keep,https://github.com/uswds/uswds/issues/6839
6835,USWDS - Feature: Consider an implementation-context example for modal accessibility testing,open,documentation,Enhancement,Affects: Accessibility 🟡; Affects: Documentation; Affects: Guidance; Needs: Discussion; Package: Modal; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/6835
6830,USWDS - Bug: Modal and header leave the page aria-hidden after teardown,open,bug,Bug,Affects: Accessibility 🟡; Context: JavaScript; Package: Header; Package: Modal,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/6830
6815,USWDS - Bug: VoiceOver skips over Step Indicator bar when there are no labels,open,bug,Bug,Affects: Accessibility 🟡; Context: VoiceOver (VO); Needs: Confirmation; Package: Step Indicator,Named platform or environment needed,https://github.com/uswds/uswds/issues/6815
6812,Migrate release-prep runbook from workflow header comment to wiki,open,documentation,Task,Affects: Documentation; Affects: Guidance,keep,https://github.com/uswds/uswds/issues/6812
6808,"USWDS - select.js rejects ShadowRoot context, breaking accordion (and other components) init inside shadow DOM",open,bug,Bug,Affects: Functionality; Context: JavaScript; Package: Accordion,Fix proposed: [#6941](https://github.com/uswds/uswds/pull/6941),https://github.com/uswds/uswds/issues/6808
6803,Audit the use of WAI-ARIA roles across USWDS,open,research,Task,A11y Audit; Affects: Accessibility 🟡; Role: A11Y; Status: Accepted; Type: Research,keep,https://github.com/uswds/uswds/issues/6803
6794,USWDS - Bug: Error states shouldn't rely on color alone to convey meaning,open,bug,Bug,Affects: Accessibility 🟡; Affects: Usability; Needs: Confirmation; Package: Character count; Package: File Input; Package: Text input,Narrow claim not reproduced,https://github.com/uswds/uswds/issues/6794
